num_compra,usuario,nome,Tipo de Mercadoria,Filial,data_compra,valor_compra,Imposto,CPF NA NOTA?
23616257,9467,MARIA,BONECOS,Loja Manicor é ,08/04/2020 11:32:10,R$65.79,R$2.96,Na~o
25333468,9531,ELESON,CARRO/MOTO ELÉTRICA,Loja Manicor é ,08/04/2020 12:06:40,R$37.71,R$1.70,Na~o
24861133,9736,ALEXANDRE,CARRO / MOTO PEDAL,Loja Manicor é ,08/04/2020 12:29:56,R$9.12,R$0.41,Na~o
24637375,9874,ALEX,PATINS/PATINETE/SKAT,Loja Manicor é ,08/04/2020 12:32:19,R$64.54,R$2.90,Na~o
26002211,10055,ANA,MÁQUINA DE COSTURA,Loja Manicor é ,08/04/2020 13:04:09,R$62.99,R$2.83,Na~o
22973778,11161,SYLVIA,PANELEIRO DE AÇO,Loja Manicor é ,08/04/2020 13:09:11,R$17.14,R$0.77,Na~o
23478733,11969,KARINA,BEBEDOURO DE COLUNA,Loja Manicor é ,08/04/2020 14:32:43,R$12.20,R$0.55,Na~o
23065656,12079,JOCILENE,BEBEDOURO DE MESA,Loja Lábrea ,08/04/2020 15:29:01,R$80.89,R$3.64,Na~o
23261111,12186,RICARDO,FOGÃO 4 BOCAS,Loja Lábrea ,08/04/2020 15:50:04,R$83.36,R$3.75,Na~o
23616279,12306,ARIEL,FOGÃO 5 BOCAS,Loja Manicor é ,08/04/2020 17:56:07,R$7.00,R$0.32,Na~o
24588091,12448,MARIA,FOGÃO 6 BOCAS,Loja Lábrea ,08/04/2020 19:35:10,R$8.53,R$0.38,Na~o
24939495,12567,DIEGO,PURIFICADOR DE ÁGUA,Loja Manicor é ,08/04/2020 20:28:29,R$38.31,R$1.72,Na~o
26052892,12572,WANDERLEY,CAMA BOX/AMER CASAL,Loja Manicor é ,09/04/2020 08:49:39,R$11.48,R$0.52,Na~o
25930958,12873,EZEQUIEL,COLCHÃO ESPUMA CASAL,Loja Manicor é ,09/04/2020 10:14:33,R$30.64,R$1.38,Na~o
22740938,13330,INELSINO,COLCH ORTOP/SEM SOLT,Loja Manicor é ,09/04/2020 12:11:46,R$38.44,R$1.73,Na~o
24720562,13651,ADSON,COLCH ORTOP/SEMI CAS,Loja Manicor é ,09/04/2020 13:18:43,R$31.36,R$1.41,Na~o
22812413,13668,MARIA,COLCHÃO ESPUMA SOLT,Loja Manicor é ,09/04/2020 14:04:09,R$18.00,R$0.81,Na~o
22784319,13924,MARLISON,COLCHÃO MOLA CASAL,Loja Manicor é ,09/04/2020 14:12:15,R$9.59,R$0.43,Na~o
22145548,13950,CONCINETE,TRAVESS E ALMOFADAS,Loja Manicor é ,09/04/2020 14:41:08,R$24.47,R$1.10,Na~o
24819837,14107,RAINER,COLCHÃO P/ BERÇO,Loja Manicor é ,09/04/2020 15:33:59,R$19.86,R$0.89,Na~o
26277087,14212,JAQUELINE,CAMA BOX/AMER SOLT,Loja Manicor é ,09/04/2020 16:28:53,R$22.64,R$1.02,Na~o
21856714,14378,SUELEN,FORNO MICRO-ONDAS,Loja Manicor é ,09/04/2020 16:34:43,R$13.59,R$0.61,Na~o
24039926,14513,JEAN,SPLIT INV10001À18000,Loja Lábrea ,09/04/2020 21:45:41,"R$1,199.04",R$53.96,Na~o
22917330,14568,JOSAEL,SPLIT ATÉ 8500 BTUS,Loja Lábrea ,10/04/2020 01:23:45,"R$1,401.84",R$63.08,Na~o
25209490,14607,MARIA,ACESS ELETROPORTÁTIL,Loja Lábrea ,10/04/2020 09:08:33,R$10.87,R$0.49,Na~o
22033518,15236,ARIOSTO,TOSTADOR/TORRADEIRA,Loja Manicor é ,10/04/2020 09:36:18,R$50.01,R$2.25,Na~o
23250816,17315,NILTON,LAVADORA DE PRESSÃO,Loja Manicor é ,10/04/2020 11:51:45,R$224.26,R$10.09,Na~o
22001581,17332,ENEIAS,PAN ELÉT/PIPOQ/COZED,Loja Manicor é ,10/04/2020 13:49:53,R$64.61,R$2.91,Na~o
26183180,17376,ROZANI,FORNO ELÉTRICO,Loja Manicor é ,10/04/2020 14:17:05,R$127.47,R$5.74,Na~o
24698978,24217,JOSELIA,LIQUIDIF ACIMA 3 VEL,Loja Manicor é ,10/04/2020 17:41:12,R$305.97,R$13.77,Na~o
23460477,25731,LUCIANE,LIQUIDIF ATÉ 3 VELOC,Loja Manicor é ,10/04/2020 21:26:58,R$177.49,R$7.99,Na~o
22210964,25935,PATRICIA,FERRO À VAPOR,Loja Manicor é ,11/04/2020 07:39:17,R$148.94,R$6.70,Na~o
23801141,25945,LEONARDO,DEPURADOR DE AR,Loja Manicor é ,11/04/2020 09:40:45,R$163.40,R$7.35,Na~o
24386546,26001,TIAGO,COOKTOP À GÁS,Loja Manicor é ,11/04/2020 10:23:52,R$37.15,R$1.67,Na~o
24748017,26026,AUTO,LAVA-LOUÇAS,Loja Manicor é ,11/04/2020 10:47:09,R$152.01,R$6.84,Na~o
26027930,27210,MARCIA,FORNO À GÁS,Loja Manicor é ,11/04/2020 10:53:48,R$57.49,R$2.59,Na~o
23269987,27235,CLEONICE,CORTINA DE AR/CLIMAT,Loja Manicor é ,11/04/2020 13:43:39,R$98.72,R$4.44,Na~o
26027202,27275,ANEZIA,PRIMEIRA INFÂNCIA,Loja Manicor é ,11/04/2020 15:24:45,R$150.08,R$6.75,Na~o
24515506,27434,NAILTOM,EDUCATIVO/PRÉ-ESCOLA,Loja Manicor é ,11/04/2020 15:48:29,R$58.74,R$2.64,Na~o
25271905,27465,JACKSON,QUEBRA-CABEÇA,Loja Manicor é ,11/04/2020 16:31:59,R$133.24,R$6.00,Na~o
24296439,27517,DANIEL,JOGOS DIVERSOS BRINQ,Loja Manicor é ,11/04/2020 18:33:43,R$265.98,R$11.97,Na~o
21988405,27583,ROSIANE,BONECAS,Loja Manicor é ,11/04/2020 22:06:27,R$379.85,R$17.09,Na~o
23107441,27605,PAULO,PISCINA,Loja Manicor é ,12/04/2020 08:42:09,R$115.53,R$5.20,Na~o
25307520,27632,EUGENIO,CAMPING,Loja Manicor é ,12/04/2020 10:02:24,R$57.84,R$2.60,Na~o
22032740,27688,RAIMUNDO,POTES,Loja Autazes,12/04/2020 13:44:31,R$26.34,R$1.19,Na~o
23798310,27766,AREOLINA,ACESS DE COZINHA,Loja Manicor é ,12/04/2020 14:23:51,R$10.30,R$0.46,Na~o
22153097,27783,OZANIRA,VARAL,Loja Lábrea ,12/04/2020 15:55:34,R$23.43,R$1.05,Na~o
24924461,27792,MIQUEIAS,CHURRASQUEIRA,Loja Lábrea ,12/04/2020 16:01:38,R$13.71,R$0.62,Na~o
24381633,27869,NADIJANARA,GRELHAS/ESPETOS/ACES,Loja Lábrea ,12/04/2020 17:24:31,R$67.62,R$3.04,Na~o
25678697,27909,LUIZ,BULE/CHALEIRA,Loja Lábrea ,12/04/2020 17:42:39,R$30.88,R$1.39,Na~o
23343235,27912,GEDEAO,JARRAS,Loja Lábrea ,12/04/2020 20:46:03,R$156.72,R$7.05,Na~o
26071084,28026,FABRIZIO,GINÁSTICA/MUSCULAÇÃO,Loja Lábrea ,13/04/2020 01:02:48,R$24.95,R$1.12,Na~o
23794567,28032,NATALINA,GARRAFAS,Loja Lábrea ,13/04/2020 06:05:09,R$23.54,R$1.06,Na~o
22474588,28043,AUTO,SAPATEIRA/MULTI-USO,Loja Lábrea ,13/04/2020 07:09:22,R$28.48,R$1.28,Na~o
24765932,28069,DANIEL,MERGULHO,Loja Manicor é ,13/04/2020 09:00:11,R$26.43,R$1.19,Na~o
24313851,28107,ILCIA,REL MASC AUTOMÁTICO,Loja Lábrea ,13/04/2020 09:48:28,R$38.60,R$1.74,Na~o
24311018,28181,ANA,RELÓGIO MASC ANALÓG,Loja Lábrea ,13/04/2020 09:52:08,R$3.56,R$0.16,Na~o
22476029,28211,JULIANA,RELÓGIO FEM ANALÓG,Loja Lábrea ,13/04/2020 10:06:04,R$88.92,R$4.00,Na~o
24660686,28300,GABRIEL,RELÓGIO PULSO INF-JU,Loja Lábrea ,13/04/2020 10:28:02,R$125.44,R$5.64,Na~o
25383921,29776,AMANDA,CAIXA ACÚSTICA,Loja Manicor é ,13/04/2020 10:39:38,R$30.63,R$1.38,Na~o
22131998,30646,ANDERSON,ALTO-FALANTES,Loja Manicor é ,13/04/2020 11:06:28,R$43.02,R$1.94,Na~o
22814135,30997,TALITA,BATEDEIRA,Loja Manicor é ,13/04/2020 11:59:30,R$48.78,R$2.19,Na~o
25760918,31998,SELMA,CENTRÍFUGA ELETROPOR,Loja Manicor é ,13/04/2020 12:13:07,R$30.51,R$1.37,Na~o
23196262,32005,THAIS,BARBEADOR,Loja Autazes,13/04/2020 12:13:10,R$9.93,R$0.45,Na~o
24204937,32361,ESTELLAYNE,DEPILADOR/APARADOR,Loja Manicor é ,13/04/2020 12:19:20,R$12.64,R$0.57,Na~o
24906820,32458,PAULIANE,MÁQ CORTAR CABELO,Loja Manicor é ,13/04/2020 13:02:14,R$27.68,R$1.25,Na~o
24672183,32990,ELIANA,VAPORIZADOR,Loja Manicor é ,13/04/2020 13:02:54,R$62.06,R$2.79,Na~o
25199996,33352,EVANDRA,ACESS FERRAMENTAS,Loja Manicor é ,13/04/2020 13:59:42,R$18.61,R$0.84,Na~o
24082654,33493,ALEXSANDRO,ESMERILHADEIRA,Loja Manicor é ,13/04/2020 14:12:39,R$38.30,R$1.72,Na~o
23747298,33881,JERUZA,LIXADEIRA,Loja Manicor é ,13/04/2020 14:35:13,R$50.28,R$2.26,Na~o
22506266,34798,LEYDE,SERRA MÁRMORE,Loja Manicor é ,13/04/2020 17:37:55,R$30.46,R$1.37,Na~o
23368294,35417,EDUARDA,SERRA TICO-TICO,Loja Manicor é ,13/04/2020 17:49:34,R$57.99,R$2.61,Na~o
22998844,35553,MAIRA,MARTELETE,Loja Manicor é ,13/04/2020 18:38:24,R$91.93,R$4.14,Na~o
26144464,35958,SIMONE,FURADEIRA,Loja Manicor é ,13/04/2020 19:06:07,R$52.24,R$2.35,Na~o
25553406,36023,GEZIELA,BROCAS,Loja Manicor é ,13/04/2020 19:34:42,R$18.30,R$0.82,Na~o
26144971,36179,REBECA,FURADEIRA/PARAFUSADE,Loja Manicor é ,13/04/2020 19:46:17,R$6.56,R$0.30,Na~o
22085448,36545,DHULEN,PARAFUSADEIRA,Loja Lábrea ,14/04/2020 08:39:13,R$15.20,R$0.68,Na~o
22059034,38053,CATARINE,SERRA CIRCULAR,Loja Lábrea ,14/04/2020 08:57:39,R$70.06,R$3.15,Na~o
22251551,38950,MARIA,REL MASC ANA/DIGITAL,Loja Lábrea ,14/04/2020 09:22:49,R$32.24,R$1.45,Na~o
25709897,39046,ZENILSON,BANDEJ/TRAVES/BAIXEL,Loja Manicor é ,14/04/2020 09:59:19,R$23.65,R$1.06,Na~o
23111050,39532,AUTO,FRUTEIRA,Loja Manicor é ,14/04/2020 10:19:10,R$110.31,R$4.96,Na~o
24668817,40501,AMARILDO,UTENS. DE MESA,Loja Manicor é ,14/04/2020 10:29:45,R$76.23,R$3.43,Na~o
25057789,40859,RODRIGO,FAQUEIRO,Loja Manicor é ,14/04/2020 10:53:58,R$45.44,R$2.04,Na~o
25540442,41405,ANA,FRIGIDEIRA,Loja Manicor é ,14/04/2020 10:54:23,R$27.60,R$1.24,Na~o
22058449,42063,MILIANE,ASSADEIRAS/FÔRMAS,Loja Manicor é ,14/04/2020 10:55:57,R$11.19,R$0.50,Na~o
24142178,42930,ALLAN,CUTELARIA,Loja Manicor é ,14/04/2020 11:02:50,R$42.56,R$1.92,Na~o
24719648,44832,LUZINEIDE,P/JARD/AGRÍC MANUAL,Loja Manicor é ,14/04/2020 11:31:37,R$65.78,R$2.96,Na~o
23288834,44997,SIDNEY,UTENSÍLIO DOMÉSTICO,Loja Manicor é ,14/04/2020 11:51:43,R$18.85,R$0.85,Na~o
24466090,45992,HELIO,CONJ LOUÇA JANTAR,Loja Manicor é ,14/04/2020 11:56:24,R$38.15,R$1.72,Na~o
25588076,46571,JOHNNATTHAS,CAÇAROLA,Loja Lábrea ,14/04/2020 12:00:39,R$1.59,R$0.07,Na~o
22260682,46613,SUELLEN,CALDEIRÃO,Loja Lábrea ,14/04/2020 12:12:36,R$4.23,R$0.19,Na~o
23300593,50567,JOHNE,PANELAS,Loja Lábrea ,14/04/2020 12:40:43,R$2.06,R$0.09,Na~o
24518625,51493,SIMONE,SUP AÉREO/BARRA/GANC,Loja Lábrea ,14/04/2020 13:03:54,R$1.02,R$0.05,Na~o
25856284,51887,JOZINALDO,TÁBUAS DE PASSAR,Loja Lábrea ,14/04/2020 14:16:12,R$2.86,R$0.13,Na~o
25079244,52221,LUILMA,COMPL COZ DE AÇO,Loja Lábrea ,14/04/2020 16:27:32,R$24.59,R$1.11,Na~o
24195468,52284,PRISCILA,SALADEIRAS/SOPEIRAS,Loja Lábrea ,14/04/2020 16:55:10,R$2.60,R$0.12,Na~o
23804688,52711,DENIS,CONJ DE PANELAS,Loja Lábrea ,14/04/2020 16:55:33,R$24.28,R$1.09,Na~o
23805467,54894,ICARO,CONJ DE SOBREMESA,Loja Lábrea ,14/04/2020 17:04:07,R$29.72,R$1.34,Na~o
22698869,56253,GLENDA,FERVEDOR/LEITEIRA,Loja Manicor é ,14/04/2020 18:43:57,R$9.16,R$0.41,Na~o
25947835,56417,INGRA,ESCORREDOR,Loja Manicor é ,14/04/2020 20:41:45,R$48.20,R$2.17,Na~o
25948525,56424,RAFAELA,RECHAUD/FONDUE,Loja Manicor é ,14/04/2020 21:06:11,R$5.41,R$0.24,Na~o
23844191,56902,NATHALIA,APARELHO DVD,Loja Manicor é ,14/04/2020 21:52:19,R$89.49,R$4.03,Na~o
22463354,57782,NADSON,CABOS E CAPAS,Loja Lábrea ,14/04/2020 22:39:51,R$35.74,R$1.61,Na~o
22486421,57941,LEANDRO,BOTIJA GÁS/CJ LIGAÇÃ,Loja Lábrea ,14/04/2020 22:43:24,R$42.98,R$1.93,Na~o
24177930,58425,AUTO,PEN DRIVE,Loja Lábrea ,15/04/2020 06:03:05,R$14.73,R$0.66,Na~o
22369476,58867,WOLLACE,ACESS P/ SMARTPHONES,Loja Manicor é ,15/04/2020 07:43:54,R$55.78,R$2.51,Na~o
23838825,59013,KAIK,FONE OUVIDO IN EAR,Loja Manicor é ,15/04/2020 08:14:58,R$65.40,R$2.94,Na~o
25059059,59562,MARIVONE,RECARGA VIRTUAL,Loja Autazes,15/04/2020 08:37:51,R$47.38,R$2.13,Na~o
21861506,60322,YVELIZE,CONSOLES,Loja Lábrea ,15/04/2020 08:42:13,R$16.66,R$0.75,Na~o
24677772,60800,AUTO,CARRINHOS & CIA,Loja Autazes,15/04/2020 08:48:05,R$14.00,R$0.63,Na~o
25372451,63292,OTAVIO,BLOCOS DE MONTAR,Loja Autazes,15/04/2020 09:06:58,R$8.67,R$0.39,Na~o
25674187,64194,FABIANA,BOMBA D'ÁGUA,Loja Autazes,15/04/2020 09:23:13,R$2.39,R$0.11,Na~o
24912787,66213,LUCAS,CADEIRA JD/PISCINA,Loja Autazes,15/04/2020 09:24:27,R$14.00,R$0.63,Na~o
25734022,66657,MONICA,CADEIRA DE BAR,Loja Autazes,15/04/2020 09:27:11,R$21.99,R$0.99,Na~o
25674186,66685,MARINETE,MESA PLÁSTICA,Loja Autazes,15/04/2020 09:38:54,R$21.51,R$0.97,Na~o
25372281,68213,ANDRE,CARTUCHO IMPRESSORA,Loja Autazes,15/04/2020 10:25:39,R$16.76,R$0.75,Na~o
25910288,69199,ALEXANDRE,MULTIFUNÇÃO,Loja Autazes,15/04/2020 10:26:43,R$9.43,R$0.42,Na~o
25675428,70314,MARIA,IMPRESSORA,Loja Lábrea ,15/04/2020 10:41:56,R$19.54,R$0.88,Na~o
24421168,70643,ROBSON,PROJETOR,Loja Lábrea ,15/04/2020 11:02:29,R$19.57,R$0.88,Na~o
22988640,70749,JONAS,BATERIA P/ AUTOMÓVEL,Loja Lábrea ,15/04/2020 11:04:07,R$34.71,R$1.56,Na~o
26133572,70878,FABIO,BATERIA P/ MOTO,Loja Lábrea ,15/04/2020 12:02:45,R$27.70,R$1.25,Na~o
24604647,71315,AMANDA,BRINC E FAZ DE CONTA,Loja Manicor é ,15/04/2020 12:26:55,R$9.30,R$0.42,Na~o
23294984,71356,SIDNEY,RACK,Loja Manicor é ,15/04/2020 14:08:14,R$35.22,R$1.58,Na~o
25722757,72185,JAMES,MESA DE CENTRO,Loja Manicor é ,15/04/2020 14:41:27,R$51.46,R$2.32,Na~o
22463838,73038,ELIAS,CONJ DE CHÁ E CAFÉ,Loja Lábrea ,15/04/2020 15:11:27,R$1.75,R$0.08,Na~o
22087825,73232,JULIO,CERCADO,Loja Lábrea ,15/04/2020 15:17:25,R$17.66,R$0.79,Na~o
25316388,73442,NATALIA,CARRINHO DE BEBÊ,Loja Manicor é ,15/04/2020 15:22:25,R$71.82,R$3.23,Na~o
24062883,73602,ELEN,ASSENTO P/ AUTO,Loja Manicor é ,15/04/2020 17:44:19,R$270.44,R$12.17,Na~o
26036168,73870,RICARDO,CADEIRÃO,Loja Manicor é ,15/04/2020 18:15:04,R$331.20,R$14.90,Na~o
26153264,74120,ALLAN,TELEF CONVENC S/FIO,Loja Lábrea ,15/04/2020 18:24:09,R$1.83,R$0.08,Na~o
26051189,74155,MARCIA,DVD COMÉDIA,Loja Lábrea ,15/04/2020 18:30:23,R$13.78,R$0.62,Na~o
26202254,74291,LAZARO,ENT C/ HORA AGENDADA,Loja Manicor é ,15/04/2020 18:30:32,R$18.14,R$0.82,Na~o
25385142,74640,ELISANGELA,RELÓGIO DE PAREDE,Loja Lábrea ,15/04/2020 18:58:17,R$15.48,R$0.70,Na~o
25580830,74641,SUSY,GARRAFÃO,Loja Lábrea ,15/04/2020 19:01:55,R$13.74,R$0.62,Na~o
26207253,75918,ANGELA,BALANÇA ELETRÔNICA,Loja Lábrea ,15/04/2020 19:25:44,R$14.42,R$0.65,Na~o
23830958,76674,BARBARA,LAV AUTO DE 9 A 11KG,Loja Lábrea ,16/04/2020 08:07:00,R$17.71,R$0.80,Na~o
25387782,76693,EDILANE,COIFA DE PAREDE,Loja Lábrea ,16/04/2020 08:08:45,R$1.66,R$0.07,Na~o
22986099,76698,VANESSA,LAV AUTO ATÉ 8KG,Loja Lábrea ,16/04/2020 08:25:55,R$7.09,R$0.32,Na~o
23400107,76878,ALDEANE,LAV AUTO À PARTIR 12,Loja Lábrea ,16/04/2020 08:53:37,R$13.58,R$0.61,Na~o
22439850,77215,ELIANE,MOTOR DE POPA,Loja Lábrea ,16/04/2020 09:07:55,R$21.99,R$0.99,Na~o
23400206,77318,KETLYEEN,CD PLAYER P/AUTO,Loja Lábrea ,16/04/2020 09:14:37,R$13.19,R$0.59,Na~o
23357322,77654,TAMMARA,DVD PLAYER P/ AUTO,Loja Lábrea ,16/04/2020 10:13:34,R$15.14,R$0.68,Na~o
26217981,77695,ADORA,PANELA DE PRESSÃO,Loja Manicor é ,16/04/2020 10:28:39,R$75.30,R$3.39,Na~o
24986062,78542,SILVANIRA,ACESSÓRIOS INFANTIS,Loja Lábrea ,16/04/2020 11:12:53,R$61.89,R$2.79,Na~o
24595121,81207,ANTONIA,BEBÊ CONFORTO,Loja Manicor é ,16/04/2020 11:30:27,R$35.20,R$1.58,Na~o
24680754,81500,CAMILA,VENTILADOR DE MESA,Loja Manicor é ,16/04/2020 11:36:03,R$272.54,R$12.26,Na~o
25029781,82090,WALERIA,VENTILADOR DE COLUNA,Loja Manicor é ,16/04/2020 12:00:53,R$192.98,R$8.68,Na~o
22472303,82710,ELIS,TECLADO/TECLADO+MOUS,Loja Manicor é ,16/04/2020 12:06:10,R$265.70,R$11.96,Na~o
24679886,82752,SANDRA,PELÚCIA,Loja Manicor é ,16/04/2020 12:43:27,R$43.92,R$1.98,Na~o
23103844,83091,DEBORA,"TV LED DE 16"" À 20""",Loja Manicor é ,16/04/2020 14:06:03,"R$16,130.88",R$725.89,Na~o
25748777,83270,SHIRLEY,ACESS PARA BANHEIRO,Loja Manicor é ,16/04/2020 14:11:04,R$228.57,R$10.29,Na~o
26089347,84311,LUZIANA,COPOS/CANECAS,Loja Manicor é ,16/04/2020 14:39:02,R$245.02,R$11.03,Na~o
24397820,86436,PATRICIA,CONJ TAÇAS/COPOS,Loja Manicor é ,16/04/2020 14:42:57,R$197.62,R$8.89,Na~o
22087094,86755,FREIDSON,PORTA-JÓIA,Loja Autazes,16/04/2020 14:52:50,R$9.87,R$0.44,Na~o
22146375,86994,PRISCILA,PEÇA AVULSA - LOUÇA,Loja Manicor é ,16/04/2020 16:57:00,R$183.02,R$8.24,Na~o
23388446,87089,ADRIANE,PNEU P/ MOTO,Loja Manicor é ,16/04/2020 16:57:40,R$232.52,R$10.46,Na~o
24783139,88511,LADY,SOFÁ 03 LUGARES,Loja Manicor é ,16/04/2020 17:30:50,R$79.92,R$3.60,Na~o
26133699,88636,FERNANDA,POLTRONA,Loja Manicor é ,16/04/2020 20:58:43,R$5.74,R$0.26,Na~o
24373902,88900,CAYO,REL FEM DIGITAL,Loja Manicor é ,16/04/2020 22:15:01,R$9.48,R$0.43,Na~o
25104587,89606,TIAGO,REL MASC DIGITAL,Loja Lábrea ,17/04/2020 00:22:24,R$78.72,R$3.54,Na~o
22946453,89860,ANDREIA,ROUP INFANTIL ATÉ 3P,Loja Manicor é ,17/04/2020 07:55:17,R$25.81,R$1.16,Na~o
23849836,90129,ANA,LIXEIRA,Loja Lábrea ,17/04/2020 08:27:02,R$57.60,R$2.59,Na~o
22787601,91682,AUTO,BOLSA TÉRMICA/NECESS,Loja Lábrea ,17/04/2020 08:37:31,R$23.47,R$1.06,Na~o
25129931,91735,TELMA,CARREGADOR/PILHA,Loja Manicor é ,17/04/2020 08:44:12,R$39.80,R$1.79,Na~o
22960589,91776,DANIEL,ARTIGOS INFLÁVEIS,Loja Manicor é ,17/04/2020 09:10:46,R$14.16,R$0.64,Na~o
22235726,91864,FABIANA,ESPORTE INFANTIL,Loja Manicor é ,17/04/2020 09:32:49,R$53.93,R$2.43,Na~o
